title,company,location,experience,url,job_id,source,search_role,search_location,description,match_score,reasoning,should_apply,applied,timestamp
Python Developer,Cybrosys,Bengaluru,0-2 Yrs,https://www.naukri.com/job-listings-python-developer-cybrosys-technologies-pvt-ltd-bengaluru-0-to-2-years-041225503119,naukri_Python_Developer_Cybrosys_0,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:53.356240
Python Software Developer,Swache Technologies,Bengaluru(Avalahalli),0-4 Yrs,https://www.naukri.com/job-listings-python-software-developer-swache-technologies-bengaluru-0-to-4-years-081225024614,naukri_Python_Software_Developer_Swache_Technologies_1,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:54.512953
Python Developer,Mercedes Benz,Bengaluru,3-6 Yrs,https://www.naukri.com/job-listings-python-developer-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-3-to-6-years-081225906169,naukri_Python_Developer_Mercedes_Benz_2,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:55.671626
Python Developer,Infosys,Bengaluru,1-3 Yrs,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-1-to-3-years-081225906180,naukri_Python_Developer_Infosys_3,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:56.829865
Python Developer,Infosys,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-3-to-5-years-041225930403,naukri_Python_Developer_Infosys_4,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:57.994574
Python Developer,Infosys,Bengaluru,3-8 Yrs,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-3-to-8-years-081225924726,naukri_Python_Developer_Infosys_5,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:39:59.128269
HCL is Hiring Python Developer,HCLTech,"Hybrid - Chennai, Bengaluru",5-10 Yrs,https://www.naukri.com/job-listings-hcl-is-hiring-python-developer-hcltech-chennai-bengaluru-5-to-10-years-261125021888,naukri_HCL_is_Hiring_Python_Developer_HCLTech_6,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:40:00.292373
Python Developer,Calpion Software Technologies,Bengaluru,3-6 Yrs,https://www.naukri.com/job-listings-python-developer-calpion-software-technologies-bengaluru-3-to-6-years-011025016991,naukri_Python_Developer_Calpion_Software_Technologies_7,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:40:01.451359
Virtual Weekend Drive For Python Developer Role On 13th & 14th Dec.,Xoriant,"Hybrid - Chennai, Bengaluru",3-6 Yrs,https://www.naukri.com/job-listings-virtual-weekend-drive-for-python-developer-role-on-13th-14th-dec-xoriant-chennai-bengaluru-3-to-6-years-241125006347,naukri_Virtual_Weekend_Drive_For_Python_Developer_Role_On_13th_&_14th_Dec._Xoriant_8,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:40:02.615748
Tcs Hiring ! Python Developer,Tata Consultancy Services,"Chennai, Bengaluru",5-9 Yrs,https://www.naukri.com/job-listings-tcs-hiring-python-developer-tata-consultancy-services-chennai-bengaluru-5-to-9-years-251025015473,naukri_Tcs_Hiring_!_Python_Developer_Tata_Consultancy_Services_9,Naukri,Python Developer,Bangalore,Check job page for details,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-09T11:40:03.816901
